datetime,open,high,low,close,volume
2014-09-19 00:00,92.70,99.70,89.95,93.89,271879400.00
2014-09-22 00:00,92.70,92.95,89.50,89.89,66657800.00
2014-09-23 00:00,88.94,90.48,86.62,87.17,39009800.00
2014-09-24 00:00,88.47,90.57,87.22,90.57,32088000.00
2014-09-25 00:00,91.09,91.50,88.50,88.92,28598000.00
2014-09-26 00:00,89.73,90.46,88.66,90.46,18340000.00
2014-09-29 00:00,89.62,89.70,88.02,88.75,25302000.00
2014-09-30 00:00,89.00,90.88,88.46,88.85,24419400.00
2014-10-01 00:00,88.70,88.94,86.04,86.10,24029600.00
2014-10-02 00:00,86.27,88.20,85.61,87.06,21469700.00
2014-10-03 00:00,88.10,89.94,87.65,88.10,18485700.00
2014-10-06 00:00,89.15,89.65,88.06,88.31,9268400.00
2014-10-07 00:00,87.95,89.70,87.06,87.67,12791700.00
2014-10-08 00:00,88.00,88.50,87.06,88.30,10252600.00
2014-10-09 00:00,88.51,90.35,88.00,88.79,21507000.00
2014-10-10 00:00,88.25,88.74,85.24,85.88,15431400.00
2014-10-13 00:00,86.85,86.89,84.92,85.12,14845000.00
2014-10-14 00:00,85.81,85.88,83.22,84.95,15559200.00
2014-10-15 00:00,84.04,86.49,82.81,85.60,16824300.00
2014-10-16 00:00,84.98,89.18,84.01,88.85,15232000.00
2014-10-17 00:00,90.40,90.90,87.67,87.91,17360700.00
2014-10-20 00:00,88.00,89.50,87.86,88.26,9891400.00
2014-10-21 00:00,89.10,92.50,88.50,90.90,23243800.00
2014-10-22 00:00,92.25,93.50,91.01,91.63,20364500.00
2014-10-23 00:00,92.92,94.70,92.82,94.45,20641000.00
2014-10-24 00:00,95.07,98.00,94.78,95.76,32132600.00
2014-10-27 00:00,97.00,98.85,96.30,97.79,28302400.00
2014-10-28 00:00,99.84,100.67,98.61,99.68,32127600.00
2014-10-29 00:00,99.88,100.00,96.82,98.31,28655400.00
2014-10-30 00:00,98.48,99.44,97.30,98.73,15484600.00
2014-10-31 00:00,100.10,100.22,98.14,98.60,18128300.00
2014-11-03 00:00,99.67,102.80,99.05,101.80,40883700.00
2014-11-04 00:00,100.43,106.36,99.51,106.07,67814000.00
2014-11-05 00:00,108.48,110.14,106.48,108.67,48344000.00
2014-11-06 00:00,109.30,111.70,107.21,111.57,33609000.00
2014-11-07 00:00,112.93,114.77,111.75,114.56,51457000.00
2014-11-10 00:00,117.27,119.45,115.20,119.15,75971000.00
2014-11-11 00:00,117.25,117.55,113.69,114.54,70983600.00
2014-11-12 00:00,115.05,119.07,114.02,118.20,53908000.00
2014-11-13 00:00,119.30,120.00,114.55,114.84,62163000.00
2014-11-14 00:00,115.06,115.39,113.35,115.10,29849000.00
2014-11-17 00:00,115.44,115.63,113.13,114.25,22573000.00
2014-11-18 00:00,114.33,114.38,110.41,110.81,41098000.00
2014-11-19 00:00,109.83,110.68,107.22,108.82,46841000.00
2014-11-20 00:00,107.81,112.44,107.26,109.82,36489000.00
2014-11-21 00:00,113.21,113.50,110.43,110.73,27432000.00
2014-11-24 00:00,112.00,113.93,111.55,113.92,20646000.00
2014-11-25 00:00,114.94,115.17,112.33,113.47,23485000.00
2014-11-26 00:00,113.33,113.74,112.33,112.67,11794700.00
2014-11-28 00:00,113.14,113.23,111.11,111.64,8077800.00
2014-12-01 00:00,110.02,110.05,103.90,105.99,38464200.00
2014-12-02 00:00,107.35,110.00,106.61,109.89,18785000.00
2014-12-03 00:00,110.40,111.68,108.80,110.64,16221100.00
2014-12-04 00:00,110.10,110.50,108.91,109.17,10779300.00
2014-12-05 00:00,109.60,110.35,107.76,107.90,12148100.00
2014-12-08 00:00,105.97,107.40,104.21,105.07,19217300.00
2014-12-09 00:00,102.27,107.95,101.20,107.48,24866800.00
2014-12-10 00:00,107.09,107.38,103.51,103.88,18466700.00
2014-12-11 00:00,104.44,106.84,104.29,104.97,15684300.00
2014-12-12 00:00,104.70,107.45,104.18,105.11,14537600.00
2014-12-15 00:00,106.39,107.77,103.70,104.70,16521800.00
