datetime,open,high,low,close,volume
2014-05-19 00:00,33.29,35.05,33.07,34.47,10640800.00
2014-05-20 00:00,34.08,34.61,33.06,33.36,5441300.00
2014-05-21 00:00,33.52,34.19,33.06,34.00,3585100.00
2014-05-22 00:00,34.34,36.39,34.18,35.65,6608300.00
2014-05-23 00:00,35.83,37.37,35.26,37.35,5668600.00
2014-05-27 00:00,37.40,38.54,36.85,37.54,6280200.00
2014-05-28 00:00,37.26,38.55,37.06,38.05,6100600.00
2014-05-29 00:00,38.15,38.57,37.23,38.09,4258500.00
2014-05-30 00:00,37.79,37.89,36.43,36.80,5441300.00
2014-06-02 00:00,35.33,36.81,35.24,36.79,6871900.00
2014-06-03 00:00,36.44,36.75,35.80,36.33,4205600.00
2014-06-04 00:00,36.19,36.98,35.63,36.77,3031500.00
2014-06-05 00:00,36.45,37.01,35.86,36.63,3522500.00
2014-06-06 00:00,37.07,37.11,36.60,36.84,2862800.00
2014-06-09 00:00,37.01,37.01,36.09,36.48,2321200.00
2014-06-10 00:00,36.40,36.91,36.32,36.89,3202500.00
2014-06-11 00:00,36.54,38.65,36.51,38.41,6116300.00
2014-06-12 00:00,38.50,39.38,37.19,37.45,6061800.00
2014-06-13 00:00,37.84,38.91,37.50,38.34,3679000.00
2014-06-16 00:00,38.22,40.60,38.11,40.54,5227000.00
2014-06-17 00:00,40.22,41.36,39.93,40.88,5973900.00
2014-06-18 00:00,40.91,41.19,39.65,40.47,4285800.00
2014-06-19 00:00,40.51,41.15,40.14,40.86,3162700.00
2014-06-20 00:00,40.74,42.10,40.22,41.91,4962500.00
2014-06-23 00:00,41.95,42.70,41.26,41.78,3884600.00
2014-06-24 00:00,41.77,44.02,41.14,41.25,8536000.00
2014-06-25 00:00,41.49,43.89,41.16,43.77,5843400.00
2014-06-26 00:00,43.44,43.79,42.21,43.04,5387400.00
2014-06-27 00:00,42.40,43.80,41.33,43.30,16404400.00
2014-06-30 00:00,43.67,45.37,43.66,44.57,5592600.00
2014-07-01 00:00,44.53,44.95,43.75,43.87,3953200.00
2014-07-02 00:00,44.07,45.21,43.41,43.69,4007100.00
2014-07-03 00:00,43.80,44.55,43.35,44.35,2174600.00
2014-07-07 00:00,44.07,44.22,42.15,42.20,5192100.00
2014-07-08 00:00,42.03,42.06,39.89,40.63,6987000.00
2014-07-09 00:00,41.17,42.00,40.76,41.59,4296400.00
2014-07-10 00:00,40.11,41.31,38.67,40.98,6321300.00
2014-07-11 00:00,40.98,41.63,40.29,40.90,3702400.00
2014-07-14 00:00,41.09,42.33,40.77,40.98,4566400.00
2014-07-15 00:00,41.00,41.56,39.49,40.24,3943600.00
2014-07-16 00:00,40.69,41.16,40.24,40.32,2319300.00
2014-07-17 00:00,39.99,40.62,38.43,38.56,4415300.00
2014-07-18 00:00,38.58,39.66,38.52,38.73,3103700.00
2014-07-21 00:00,38.97,39.74,38.46,39.52,2733300.00
2014-07-22 00:00,39.46,40.20,39.06,39.48,2496600.00
2014-07-23 00:00,39.69,39.85,38.82,39.44,2116600.00
2014-07-24 00:00,39.81,49.15,39.16,45.45,24970900.00
2014-07-25 00:00,44.75,49.66,44.43,49.54,14401900.00
2014-07-28 00:00,47.44,51.42,46.13,49.99,28148400.00
2014-07-29 00:00,49.74,50.14,46.51,46.73,12460700.00
2014-07-30 00:00,47.12,47.17,45.84,46.28,5082100.00
2014-07-31 00:00,46.12,46.12,44.37,44.76,4554200.00
2014-08-01 00:00,44.59,45.67,43.21,44.56,4291600.00
2014-08-04 00:00,45.13,45.93,44.90,45.15,3403200.00
2014-08-05 00:00,45.27,45.52,43.20,43.99,6409500.00
