datetime,open,high,low,close,volume
2015-03-16 00:00,38.19,38.61,38.04,26.14,3109000.00
2015-03-17 00:00,38.23,38.23,37.86,25.98,2614000.00
2015-03-18 00:00,38.56,38.92,37.91,26.40,3655400.00
2015-03-19 00:00,38.72,38.78,38.33,26.40,2239900.00
2015-03-20 00:00,38.82,39.03,38.58,26.40,3476500.00
2015-03-23 00:00,38.72,38.95,38.29,26.17,3361900.00
2015-03-24 00:00,38.37,38.46,38.06,26.13,1633200.00
2015-03-25 00:00,38.42,38.45,37.90,25.92,3784300.00
2015-03-26 00:00,37.73,37.81,37.28,25.65,3121800.00
2015-03-27 00:00,37.64,38.02,37.50,25.93,3005700.00
2015-03-30 00:00,38.23,38.83,38.16,26.21,4203600.00
2015-03-31 00:00,38.36,38.93,38.26,26.53,4081700.00
2015-04-01 00:00,39.00,39.28,38.78,26.64,5307200.00
2015-04-02 00:00,39.00,39.16,38.77,26.45,3562900.00
2015-04-06 00:00,38.69,38.89,38.31,26.30,4058200.00
2015-04-07 00:00,38.68,39.32,38.50,26.57,3697100.00
2015-04-08 00:00,38.95,39.46,38.94,26.75,4456000.00
2015-04-09 00:00,39.28,39.40,38.94,26.74,3888100.00
2015-04-10 00:00,39.59,40.20,39.28,27.30,5526800.00
2015-04-13 00:00,40.35,40.89,39.79,27.39,5316800.00
2015-04-14 00:00,40.37,40.50,39.91,27.32,4234700.00
2015-04-15 00:00,40.22,41.16,40.11,27.99,5632300.00
2015-04-16 00:00,42.20,42.25,41.13,28.07,9404100.00
2015-04-17 00:00,41.22,41.85,40.94,28.55,6304000.00
2015-04-20 00:00,42.72,42.75,41.69,28.53,6894600.00
2015-04-21 00:00,42.00,42.05,41.36,28.46,4570500.00
2015-04-22 00:00,42.09,42.15,41.51,28.49,6449600.00
2015-04-23 00:00,40.83,41.43,40.79,28.57,6634100.00
2015-04-24 00:00,41.16,41.53,41.06,28.87,4826600.00
2015-04-27 00:00,41.74,41.80,41.45,28.99,4008200.00
2015-04-28 00:00,41.62,41.74,41.00,29.06,3411600.00
2015-04-29 00:00,41.67,42.42,41.34,29.12,4499500.00
2015-04-30 00:00,41.48,41.75,40.65,28.55,5847200.00
2015-05-01 00:00,41.07,41.76,41.01,29.10,3412100.00
2015-05-04 00:00,42.84,42.90,42.20,29.66,7192100.00
2015-05-05 00:00,42.81,43.04,42.14,29.47,5541700.00
2015-05-06 00:00,42.62,42.72,41.58,29.10,4379500.00
2015-05-07 00:00,41.70,42.70,41.56,29.46,4658900.00
2015-05-08 00:00,42.78,42.93,42.53,29.70,4084100.00
2015-05-11 00:00,42.65,42.90,42.42,29.76,4853200.00
2015-05-12 00:00,42.67,42.77,42.27,29.66,3162400.00
2015-05-13 00:00,42.74,42.75,42.31,29.68,2795200.00
2015-05-14 00:00,42.77,43.20,42.72,30.04,3293600.00
2015-05-15 00:00,43.10,43.45,43.08,30.25,2893900.00
