datetime,open,high,low,close,volume
2015-03-16 00:00,98.10,99.75,97.80,94.56,1451700.00
2015-03-17 00:00,98.75,99.38,98.41,94.17,1453400.00
2015-03-18 00:00,98.65,100.66,98.44,95.08,1437700.00
2015-03-19 00:00,99.81,100.38,99.78,94.94,1195000.00
2015-03-20 00:00,100.42,100.88,100.15,95.55,3435400.00
2015-03-23 00:00,100.86,100.86,100.06,95.27,1166500.00
2015-03-24 00:00,100.02,100.72,99.69,94.86,1476200.00
2015-03-25 00:00,99.65,99.70,97.30,92.60,1437300.00
2015-03-26 00:00,96.74,97.60,96.32,92.24,788300.00
2015-03-27 00:00,96.65,97.29,96.04,92.35,1023100.00
2015-03-30 00:00,97.80,98.75,97.80,93.46,876100.00
2015-03-31 00:00,97.34,98.63,96.96,92.25,1871600.00
2015-04-01 00:00,96.82,97.70,96.25,92.94,1304100.00
2015-04-02 00:00,97.69,98.71,97.35,93.72,1080600.00
2015-04-06 00:00,97.45,98.78,96.92,93.10,1332300.00
2015-04-07 00:00,98.22,98.62,97.32,92.62,1231700.00
2015-04-08 00:00,97.02,98.33,97.02,93.41,1305800.00
2015-04-09 00:00,97.88,98.40,97.29,93.42,806300.00
2015-04-10 00:00,97.84,99.11,97.57,94.33,1666400.00
2015-04-13 00:00,98.00,99.18,97.89,93.38,1223000.00
2015-04-14 00:00,97.83,98.12,97.10,93.37,1823400.00
2015-04-15 00:00,98.40,98.66,97.82,93.44,955500.00
2015-04-16 00:00,97.29,97.49,96.91,92.90,1465000.00
2015-04-17 00:00,96.51,96.71,95.33,91.17,1550800.00
2015-04-20 00:00,96.40,97.16,96.05,92.19,1182600.00
2015-04-21 00:00,97.31,98.03,96.70,92.76,1061700.00
2015-04-22 00:00,98.55,100.25,98.50,95.54,2701100.00
2015-04-23 00:00,99.78,101.95,99.56,96.77,1526900.00
2015-04-24 00:00,101.91,101.91,100.48,96.56,949300.00
2015-04-27 00:00,101.46,101.94,101.00,96.92,958900.00
2015-04-28 00:00,101.12,102.17,100.83,96.96,885800.00
2015-04-29 00:00,100.92,102.09,100.80,96.52,1076800.00
2015-04-30 00:00,100.70,101.72,99.81,95.70,1267800.00
2015-05-01 00:00,100.33,100.86,100.05,95.95,1003600.00
2015-05-04 00:00,100.58,101.68,100.35,96.62,868000.00
2015-05-05 00:00,100.80,101.44,99.87,95.40,944400.00
2015-05-06 00:00,100.38,100.43,99.02,94.95,903000.00
2015-05-07 00:00,99.72,100.42,99.40,95.46,820800.00
2015-05-08 00:00,101.29,103.10,100.79,98.01,1440600.00
2015-05-11 00:00,102.40,102.94,102.18,97.61,647400.00
2015-05-12 00:00,101.85,102.74,101.01,97.55,732100.00
2015-05-13 00:00,101.88,102.76,101.34,97.53,581800.00
2015-05-14 00:00,102.90,103.85,102.49,99.03,1134700.00
2015-05-15 00:00,104.17,104.24,102.17,97.61,1322500.00
2015-05-18 00:00,102.06,102.55,101.55,97.62,1098800.00
2015-05-19 00:00,102.93,103.81,102.60,98.51,1393500.00
2015-05-20 00:00,103.64,103.88,102.77,98.61,1158000.00
2015-05-21 00:00,103.62,104.74,103.22,99.36,2266500.00
2015-05-22 00:00,105.49,109.21,105.35,101.84,3721900.00
2015-05-26 00:00,105.55,106.26,103.98,99.84,2369000.00
2015-05-27 00:00,104.79,105.47,104.33,100.34,1183000.00
2015-05-28 00:00,104.75,105.22,104.49,100.25,1051200.00
2015-05-29 00:00,104.95,105.00,103.53,99.35,2310700.00
2015-06-01 00:00,104.77,106.97,104.09,101.51,1805300.00
2015-06-02 00:00,105.75,106.86,105.26,101.32,1147600.00
2015-06-03 00:00,106.24,106.84,105.74,101.91,960500.00
2015-06-04 00:00,106.63,106.88,105.05,100.60,1063600.00
2015-06-05 00:00,104.67,106.17,104.67,100.73,1173600.00
2015-06-08 00:00,105.35,105.80,104.46,99.68,885300.00
2015-06-09 00:00,104.45,104.92,103.90,99.82,1304100.00
2015-06-10 00:00,105.26,107.88,105.00,102.53,1736700.00
2015-06-11 00:00,107.93,107.95,105.77,100.95,2473200.00
2015-06-12 00:00,105.16,105.55,104.47,99.90,1338600.00
2015-06-15 00:00,104.07,104.07,102.62,98.30,1771000.00
2015-06-16 00:00,103.15,104.00,102.77,98.95,1324500.00
2015-06-17 00:00,103.88,104.33,103.20,99.05,884900.00
2015-06-18 00:00,103.75,104.53,103.62,99.58,1533800.00
2015-06-19 00:00,104.08,104.76,103.70,99.51,1427600.00
2015-06-22 00:00,105.03,105.58,103.54,100.64,1262800.00
2015-06-23 00:00,105.65,105.67,104.24,99.93,1211100.00
2015-06-24 00:00,104.34,104.77,102.98,98.30,1460800.00
2015-06-25 00:00,103.36,104.18,102.92,98.82,1406500.00
2015-06-26 00:00,103.60,103.98,102.34,98.48,2310800.00
2015-06-29 00:00,102.20,102.65,100.83,96.36,1491000.00
2015-06-30 00:00,101.52,101.87,100.76,96.12,1722500.00
2015-07-01 00:00,101.64,102.38,100.78,96.94,1340500.00
2015-07-02 00:00,102.03,102.03,100.62,96.74,778200.00
2015-07-06 00:00,100.29,101.96,100.12,97.22,1908500.00
2015-07-07 00:00,101.08,103.71,101.08,98.80,2670200.00
2015-07-08 00:00,101.90,104.14,101.90,98.90,3095300.00
2015-07-09 00:00,104.47,105.10,103.53,99.04,1346800.00
2015-07-10 00:00,104.94,104.94,103.60,99.79,862600.00
2015-07-13 00:00,105.37,106.07,105.01,100.81,1334700.00
2015-07-14 00:00,105.52,106.11,105.21,101.20,676700.00
2015-07-15 00:00,106.05,106.64,105.67,101.67,870700.00
2015-07-16 00:00,107.23,108.11,106.88,103.37,1003700.00
2015-07-17 00:00,107.75,108.20,106.56,102.09,1475100.00
2015-07-20 00:00,106.82,107.17,106.48,101.96,994900.00
2015-07-21 00:00,106.29,107.15,106.06,101.50,996400.00
2015-07-22 00:00,106.16,107.12,106.16,102.05,812200.00
2015-07-23 00:00,106.87,107.89,106.52,102.55,792900.00
2015-07-24 00:00,107.55,107.81,106.48,102.02,834200.00
2015-07-27 00:00,106.12,106.49,104.77,100.40,1166400.00
2015-07-28 00:00,105.04,105.71,103.66,101.01,1288100.00
2015-07-29 00:00,105.36,105.74,104.42,100.90,991100.00
2015-07-30 00:00,104.94,106.06,103.98,101.11,593800.00
2015-07-31 00:00,106.29,106.48,105.40,101.14,904100.00
2015-08-03 00:00,104.67,105.78,104.30,100.45,987900.00
2015-08-04 00:00,105.24,105.83,104.96,100.97,777400.00
2015-08-05 00:00,106.04,107.75,106.04,102.10,700800.00
2015-08-06 00:00,106.99,107.45,104.05,99.61,1176100.00
2015-08-07 00:00,104.05,105.44,103.45,100.82,1604400.00
2015-08-10 00:00,103.09,104.99,102.01,100.39,1400200.00
2015-08-11 00:00,103.70,104.66,103.08,100.04,1327900.00
2015-08-12 00:00,104.01,105.08,103.11,100.13,963800.00
2015-08-13 00:00,105.02,105.34,103.76,100.31,767000.00
