datetime,open,high,low,close,volume
2015-03-16 00:00,41.47,41.64,41.28,37.47,35273500.00
2015-03-17 00:00,41.37,41.83,41.15,37.60,31673400.00
2015-03-18 00:00,41.43,42.83,41.33,38.32,44194800.00
2015-03-19 00:00,42.26,42.59,42.22,38.13,33879100.00
2015-03-20 00:00,42.56,42.98,42.49,38.66,71904500.00
2015-03-23 00:00,42.88,43.13,42.78,38.65,26246100.00
2015-03-24 00:00,42.78,43.17,42.75,38.68,25513300.00
2015-03-25 00:00,42.92,42.93,41.44,37.38,43469900.00
2015-03-26 00:00,41.22,41.61,40.92,37.16,37495600.00
2015-03-27 00:00,41.12,41.43,40.83,36.94,34401400.00
2015-03-30 00:00,41.10,41.54,40.91,36.93,35049700.00
2015-03-31 00:00,40.78,41.03,40.54,36.66,34887200.00
2015-04-01 00:00,40.60,40.76,40.31,36.72,36865300.00
2015-04-02 00:00,40.66,40.74,40.12,36.33,37487500.00
2015-04-06 00:00,40.34,41.78,40.18,37.46,39223700.00
2015-04-07 00:00,41.61,41.91,41.31,37.45,28809400.00
2015-04-08 00:00,41.46,41.69,41.04,37.35,24753400.00
2015-04-09 00:00,41.25,41.62,41.25,37.40,25723900.00
2015-04-10 00:00,41.63,41.95,41.41,37.62,28022000.00
2015-04-13 00:00,41.40,42.06,41.39,37.65,30276700.00
2015-04-14 00:00,41.80,42.03,41.39,37.56,24244400.00
2015-04-15 00:00,41.76,42.46,41.68,38.11,27343600.00
2015-04-16 00:00,41.95,42.34,41.82,38.02,22509700.00
2015-04-17 00:00,41.67,41.74,41.16,37.53,42387600.00
2015-04-20 00:00,41.73,43.17,41.68,38.69,46057700.00
2015-04-21 00:00,43.00,43.15,42.53,38.45,26013800.00
2015-04-22 00:00,42.67,43.13,42.55,38.76,25064300.00
2015-04-23 00:00,42.89,43.61,42.80,39.08,46309500.00
2015-04-24 00:00,45.66,48.14,45.65,43.16,130933700.00
2015-04-27 00:00,47.23,48.13,47.22,43.31,59248200.00
2015-04-28 00:00,47.78,49.21,47.70,44.33,60730800.00
2015-04-29 00:00,48.72,49.31,48.50,44.24,47804600.00
2015-04-30 00:00,48.70,49.54,48.60,43.86,64725500.00
2015-05-01 00:00,48.58,48.88,48.40,43.88,38937300.00
2015-05-04 00:00,48.37,48.87,48.18,43.50,34039500.00
2015-05-05 00:00,47.82,48.16,47.31,42.92,50369200.00
2015-05-06 00:00,47.57,47.77,46.02,41.73,52433000.00
2015-05-07 00:00,46.27,47.09,46.16,42.11,32971700.00
2015-05-08 00:00,47.55,47.98,47.52,43.06,35364900.00
2015-05-11 00:00,47.55,47.91,47.37,42.71,24609400.00
2015-05-12 00:00,46.85,47.68,46.42,42.69,29928300.00
2015-05-13 00:00,48.19,48.32,47.57,42.95,34184600.00
2015-05-14 00:00,48.03,48.82,48.03,43.93,32980900.00
2015-05-15 00:00,48.87,48.91,48.05,43.55,28642700.00
2015-05-18 00:00,47.98,48.22,47.61,43.29,24136500.00
2015-05-19 00:00,47.56,47.81,47.18,43.18,28574800.00
2015-05-20 00:00,47.39,47.93,47.27,43.18,25047900.00
2015-05-21 00:00,47.28,47.60,47.01,43.04,22410700.00
