datetime,open,high,low,close,volume
2015-03-16 00:00,10.47,10.60,10.47,5.99,6772500.00
2015-03-17 00:00,10.53,10.64,10.51,6.04,6203300.00
2015-03-18 00:00,10.62,10.79,10.59,6.11,11168400.00
2015-03-19 00:00,10.72,10.77,10.65,6.09,5911900.00
2015-03-20 00:00,10.73,10.84,10.71,6.12,21202000.00
2015-03-23 00:00,10.74,10.93,10.73,6.19,11268100.00
2015-03-24 00:00,10.90,10.90,10.80,6.15,7274000.00
2015-03-25 00:00,10.83,10.92,10.80,6.15,9439800.00
2015-03-26 00:00,10.80,10.88,10.79,6.16,7229900.00
2015-03-27 00:00,10.54,10.61,10.47,6.17,8076700.00
2015-03-30 00:00,10.53,10.57,10.42,6.12,10501000.00
2015-03-31 00:00,10.45,10.49,10.40,6.09,9443600.00
2015-04-01 00:00,10.40,10.48,10.39,6.12,7415800.00
2015-04-02 00:00,10.46,10.50,10.42,6.12,4169600.00
2015-04-06 00:00,10.45,10.55,10.45,6.16,5253500.00
2015-04-07 00:00,10.54,10.55,10.41,6.10,9165500.00
2015-04-08 00:00,10.37,10.45,10.36,6.10,9907300.00
2015-04-09 00:00,10.41,10.44,10.34,6.06,9783700.00
2015-04-10 00:00,10.37,10.45,10.37,6.09,5687700.00
2015-04-13 00:00,10.39,10.42,10.35,6.06,8239100.00
2015-04-14 00:00,10.38,10.41,10.31,6.05,9150000.00
2015-04-15 00:00,10.31,10.36,10.26,6.01,8041000.00
2015-04-16 00:00,10.26,10.33,10.21,6.03,5454400.00
2015-04-17 00:00,10.28,10.34,10.27,6.03,5719500.00
2015-04-20 00:00,10.30,10.32,10.27,6.05,5913700.00
2015-04-21 00:00,10.32,10.35,10.24,6.00,6032700.00
2015-04-22 00:00,10.26,10.28,10.23,6.02,4193500.00
2015-04-23 00:00,10.27,10.28,10.24,6.01,4245000.00
2015-04-24 00:00,10.26,10.27,10.23,6.00,4386100.00
2015-04-27 00:00,10.23,10.26,10.22,5.99,5121900.00
2015-04-28 00:00,10.21,10.24,10.10,5.95,8028700.00
2015-04-29 00:00,10.06,10.15,10.04,5.92,12289500.00
2015-04-30 00:00,10.13,10.14,10.01,5.90,17184700.00
2015-05-01 00:00,10.05,10.16,10.05,5.93,8130900.00
2015-05-04 00:00,10.10,10.17,10.09,5.95,8519000.00
2015-05-05 00:00,10.14,10.14,10.02,5.88,8600100.00
2015-05-06 00:00,10.02,10.03,9.94,5.85,11354800.00
2015-05-07 00:00,9.90,10.08,9.75,5.89,14505600.00
2015-05-08 00:00,10.11,10.16,10.02,5.92,7355100.00
2015-05-11 00:00,10.07,10.07,9.99,5.86,9692200.00
2015-05-12 00:00,10.00,10.15,9.99,5.92,7244400.00
2015-05-13 00:00,10.12,10.15,10.04,5.89,5400500.00
2015-05-14 00:00,10.07,10.14,10.07,5.93,3763000.00
2015-05-15 00:00,10.12,10.20,10.10,5.96,5744500.00
2015-05-18 00:00,10.15,10.21,10.14,5.98,4421000.00
2015-05-19 00:00,10.20,10.25,10.15,5.97,8933100.00
2015-05-20 00:00,10.20,10.26,10.20,5.98,8126500.00
