datetime,open,high,low,close,volume
2015-03-16 00:00,39.78,39.84,39.75,30.18,1823400.00
2015-03-17 00:00,39.78,39.79,39.72,30.17,2385400.00
2015-03-18 00:00,39.78,39.97,39.73,30.29,2603500.00
2015-03-19 00:00,39.95,39.97,39.90,30.27,2349900.00
2015-03-20 00:00,39.95,40.08,39.91,30.38,3746300.00
2015-03-23 00:00,40.05,40.12,40.01,30.41,2194500.00
2015-03-24 00:00,40.15,40.15,40.05,30.41,1667900.00
2015-03-25 00:00,40.13,40.17,40.06,30.41,2460000.00
2015-03-26 00:00,40.06,40.09,40.00,30.39,1673200.00
2015-03-27 00:00,40.10,40.12,40.07,30.40,1292600.00
2015-03-30 00:00,40.12,40.17,40.06,30.42,1988000.00
2015-03-31 00:00,40.10,40.17,40.10,30.42,2212400.00
2015-04-01 00:00,39.97,39.98,39.85,30.42,2492500.00
2015-04-02 00:00,39.94,40.00,39.91,30.45,1352800.00
2015-04-06 00:00,39.96,40.01,39.93,30.43,1879700.00
2015-04-07 00:00,39.93,39.98,39.93,30.45,1319200.00
2015-04-08 00:00,39.98,40.05,39.97,30.50,1615000.00
2015-04-09 00:00,40.03,40.09,39.99,30.50,2488500.00
2015-04-10 00:00,40.05,40.05,40.00,30.49,1353200.00
2015-04-13 00:00,40.03,40.05,39.96,30.47,1336400.00
2015-04-14 00:00,40.02,40.04,39.99,30.49,1663300.00
2015-04-15 00:00,40.04,40.14,40.02,30.57,2116000.00
2015-04-16 00:00,40.13,40.15,40.04,30.53,2909000.00
2015-04-17 00:00,40.04,40.05,39.86,30.41,3250600.00
2015-04-20 00:00,40.00,40.00,39.88,30.39,3346600.00
2015-04-21 00:00,39.96,39.98,39.91,30.44,1501800.00
2015-04-22 00:00,39.96,39.99,39.94,30.46,1637500.00
2015-04-23 00:00,40.00,40.05,39.98,30.50,1490000.00
2015-04-24 00:00,40.05,40.09,40.01,30.51,1543300.00
2015-04-27 00:00,40.06,40.09,39.98,30.48,2032300.00
2015-04-28 00:00,40.03,40.06,39.98,30.50,1576100.00
2015-04-29 00:00,39.98,40.01,39.91,30.45,2048900.00
2015-04-30 00:00,39.96,39.96,39.80,30.43,3146600.00
2015-05-01 00:00,39.75,39.78,39.66,30.37,2072800.00
2015-05-04 00:00,39.69,39.78,39.66,30.39,2714700.00
2015-05-05 00:00,39.72,39.73,39.54,30.27,2137300.00
2015-05-06 00:00,39.56,39.58,38.98,29.87,8399000.00
2015-05-07 00:00,39.09,39.26,39.07,30.02,5643700.00
2015-05-08 00:00,39.38,39.63,39.35,30.28,3464200.00
2015-05-11 00:00,39.56,39.57,39.24,30.09,3309200.00
2015-05-12 00:00,39.21,39.47,39.15,30.20,2788700.00
2015-05-13 00:00,39.50,39.67,39.47,30.35,9790000.00
2015-05-14 00:00,39.69,39.85,39.64,30.49,5280300.00
2015-05-15 00:00,39.87,39.90,39.74,30.48,2387800.00
2015-05-18 00:00,39.86,39.86,39.68,30.42,1497500.00
2015-05-19 00:00,39.70,39.74,39.57,30.36,2289300.00
2015-05-20 00:00,39.69,39.79,39.63,30.44,1338900.00
2015-05-21 00:00,39.79,39.88,39.77,30.49,1497600.00
2015-05-22 00:00,39.83,39.86,39.78,30.51,1337300.00
2015-05-26 00:00,39.86,39.87,39.81,30.50,1590500.00
2015-05-27 00:00,39.83,39.90,39.81,30.54,1119200.00
2015-05-28 00:00,39.87,39.90,39.82,30.52,1252900.00
2015-05-29 00:00,39.89,39.90,39.75,30.42,2128800.00
2015-06-01 00:00,39.60,39.66,39.53,30.41,1766700.00
2015-06-02 00:00,39.49,39.62,39.39,30.45,2756900.00
2015-06-03 00:00,39.54,39.59,39.48,30.40,2130400.00
2015-06-04 00:00,39.55,39.63,39.52,30.45,2043400.00
2015-06-05 00:00,39.50,39.59,39.42,30.35,2068900.00
2015-06-08 00:00,39.47,39.52,39.41,30.33,1309900.00
2015-06-09 00:00,39.43,39.45,39.30,30.26,1825100.00
2015-06-10 00:00,39.33,39.38,39.29,30.24,1584300.00
2015-06-11 00:00,39.38,39.42,39.34,30.27,1307400.00
2015-06-12 00:00,39.36,39.37,39.31,30.22,1068500.00
2015-06-15 00:00,39.31,39.39,39.24,30.27,1765900.00
2015-06-16 00:00,39.35,39.45,39.22,30.32,1233000.00
2015-06-17 00:00,39.45,39.48,39.31,30.25,1268100.00
2015-06-18 00:00,39.36,39.45,39.22,30.17,7868000.00
2015-06-19 00:00,39.25,39.31,39.24,30.17,1925400.00
2015-06-22 00:00,39.31,39.36,39.28,30.21,1262300.00
2015-06-23 00:00,39.28,39.34,39.25,30.23,1421600.00
2015-06-24 00:00,39.33,39.38,39.28,30.23,1403100.00
2015-06-25 00:00,39.32,39.34,39.28,30.23,1249200.00
2015-06-26 00:00,39.30,39.32,39.21,30.22,2266800.00
2015-06-29 00:00,39.22,39.26,39.10,30.06,2124600.00
2015-06-30 00:00,39.17,39.24,39.10,30.12,1511300.00
2015-07-01 00:00,39.20,39.25,39.15,30.15,1802200.00
2015-07-02 00:00,39.10,39.16,39.06,30.20,1122100.00
2015-07-06 00:00,39.09,39.13,39.03,30.15,1398100.00
2015-07-07 00:00,39.09,39.11,38.97,30.17,2034700.00
2015-07-08 00:00,39.01,39.06,38.88,30.05,3422800.00
2015-07-09 00:00,39.03,39.05,38.99,30.13,1467300.00
2015-07-10 00:00,39.01,39.10,39.01,30.18,1243100.00
2015-07-13 00:00,39.11,39.26,39.10,30.27,3158800.00
2015-07-14 00:00,39.23,39.25,39.19,30.32,1068700.00
2015-07-15 00:00,39.28,39.37,39.25,30.39,1900100.00
2015-07-16 00:00,39.39,39.51,39.37,30.52,3439700.00
2015-07-17 00:00,39.50,39.53,39.41,30.51,2742500.00
2015-07-20 00:00,39.53,39.54,39.50,30.53,1423200.00
2015-07-21 00:00,39.52,39.52,39.43,30.51,1286300.00
2015-07-22 00:00,39.52,39.52,39.38,30.43,1327600.00
2015-07-23 00:00,39.39,39.41,39.32,30.40,1661800.00
2015-07-24 00:00,39.35,39.35,39.27,30.38,1018800.00
2015-07-27 00:00,39.30,39.34,39.26,30.35,1452200.00
